Name,Discipline,Historical Focus,Expertise,Experience,Publishing,Projects,Associations,Innovation,Score
Zainab Bahrani,"Assyriology, Ancient Near Eastern Art","Neo-Assyrian, Babylonian","PhD, Professor",~30 years,"Books: ""The Infinite Image""; papers on Mesopotamian art",Various exhibitions,Columbia University,Public lectures on accessibility; some digital exhibits,7
Paul-Alain Beaulieu,Assyriology,Neo-Babylonian,"PhD, Professor",~35 years,"""A History of Babylon""; numerous articles",Babylonian texts editions,University of Toronto,Traditional; minor digital cataloging,5
Robert D. Biggs,Assyriology,"Sumerian, Akkadian","PhD, Emeritus Professor",~60 years (retired),Editor JNES; medical texts studies,CDLI contributions,University of Chicago,Early digital adoption in CDLI,8
Dominique Charpin,Assyriology,Old Babylonian,"PhD, Professor",~40 years,"""Reading and Writing in Babylon""; Mari texts",ARCHIBAB project,Collège de France,Digital database for Old Babylonian; innovative online access,9
Manfried Dietrich,Assyriology,"Ugaritic, Hittite","PhD, Professor",~50 years (retired),Ugarit editions,Ugarit-Verlag,University of Münster,Publishing house for digital-friendly editions,7
Jean-Marie Durand,Assyriology,Mari texts,"PhD, Emeritus",~50 years,Mari archives editions,Mari excavations,CNRS France,Traditional philology; some digital scans,4
Irving Finkel,Assyriology,Cuneiform inscriptions,"PhD, Curator",~45 years,"""The Ark Before Noah""; Gilgamesh studies",British Museum digitization,British Museum,"Public outreach (books, videos); AI-friendly imaging",9
Daniel E. Fleming,"Assyriology, Biblical studies","Amorite, Emar","PhD, Professor",~35 years,"""The Legacy of Israel in Judah's Bible""",Emar texts,NYU,Interdisciplinary with linguistics; digital corpora,7
Andrew R. George,Assyriology,Babylonian literature,"PhD, Professor",~40 years,"""Babylonian Gilgamesh Epic""",ORACC projects,SOAS London,Digital editions of epics; open access,9
Jean-Jacques Glassner,Assyriology,Sumerian origins,"PhD, Researcher",~40 years,"""The Invention of Cuneiform""",Chronology studies,CNRS,Innovative writing system theories; some digital,6
Gwendolyn Leick,Assyriology,Mesopotamian culture,"PhD, Lecturer",~35 years,"""Mesopotamia: Invention of the City""",Urbanism studies,Independent,Popular books for accessibility,7
Thomas Richard Kämmerer,Assyriology,Old Babylonian,"PhD, Publisher",~30 years,Akkadian studies,Ugarit-Verlag,University of Bielefeld,Digital publishing innovations,8
Karlheinz Kessler,Assyriology,Topography,"PhD, Professor",~40 years,Topography papers,Excavations in Turkey/Syria,Erlangen-Nürnberg,Fieldwork with digital mapping,7
Cécile Michel,Assyriology,Old Assyrian trade,"PhD, Researcher",~30 years,Kültepe texts,Kültepe digitization,CNRS,AI-assisted trade network analysis,9
Alan Millard,Assyriology,Semitic languages,"PhD, Emeritus",~50 years,Epic of Atrahasis,Biblical archaeology,University of Liverpool,Traditional; some digital scans,4
Michael Roaf,"Assyriology, Iranian studies",Neo-Assyrian,"PhD, Professor",~45 years,"""Cultural Atlas of Mesopotamia""",Iranian excavations,LMU Munich,Digital atlases,7
Eleanor Robson,Assyriology,"Mathematics, history","PhD, Professor",~25 years,"""Mathematics in Ancient Iraq""","ORACC, CDLI",UCL,Leading digital humanities; AI integration,10
Francesca Rochberg,Assyriology,Astronomy,"PhD, Professor",~40 years,"""Babylonian Horoscopes""",Celestial divination,UC Berkeley,Computational astronomy models,9
Nicholas Postgate,Assyriology,"Economy, society","PhD, Emeritus",~50 years,"""Early Mesopotamia""",Abu Salabikh excavations,University of Cambridge,Digital economic databases,8
Karen Radner,Assyriology,Neo-Assyrian,"PhD, Professor",~25 years,"""Ancient Assyria: A Very Short Introduction""",ANEE project,LMU Munich,Digital prosopography; innovative outreach,9
Simo Parpola,Assyriology,Neo-Assyrian,"PhD, Emeritus",~50 years,State Archives of Assyria,SAA online,University of Helsinki,Pioneering digital editions,10
Walther Sallaberger,Assyriology,Sumerian,"PhD, Professor",~30 years,Sumerian grammar,Babylonian calendar,LMU Munich,Digital calendars; LLM potential,8
Matthew Stolper,Assyriology,Achaemenid,"PhD, Emeritus",~50 years,Persepolis texts,Persepolis Fortification Archive,University of Chicago,Digital archive project,9
Richard L. Zettler,Assyriology,Urbanism,"PhD, Professor",~40 years,Nippur studies,UPenn Museum,UPenn,Digital urban models,7
Paul Y. Hoskisson,"Assyriology, Scripture",Semitic,"PhD, Professor",~40 years,Book of Mormon onomastics,BYU projects,BYU,Interdisciplinary; accessibility focus,6
Khazal Al Majidi,Assyriology,Religions,"PhD, Specialist",~30 years,Ancient religions history,Independent,Independent,Public books on Mesopotamian myths,7
Stefan Maul,Assyriology,Literary texts,"PhD, Professor",~35 years,Assur texts editions,Heidelberg Academy,Heidelberg,Digital literary editions,8
Liane Jakob-Rost,Assyriology,Museum editions,"PhD, Curator",~50 years (retired),Vorderasiatisches Museum,Berlin collections,Berlin Museum,Digital catalogs,7
Jalil Bakhtiari,Assyriology,Ancient Iranian-Mesopotamian links,PhD Candidate,~5-10 years,Papers on Iranian influences,N/A,Allameh Tabataba’i University,Emerging; potential for digital cross-cultural,6
Joshua Bowen,Assyriology,Sumerian,PhD,~10 years,"""Learn to Read Ancient Sumerian"" book",Digital Hammurabi,Independent/Johns Hopkins alum,Innovative outreach; AI-friendly teaching tools,10
Megan Lewis,Assyriology,"Sumerian, Digital",M.Phil.,~10 years,"Co-author ""Learn to Read Ancient Sumerian""",Digital Hammurabi,University of Birmingham alum,Public YouTube; accessibility via LLM imaging,10
Eckart Frahm,Assyriology,Assyrian history,"PhD, Professor",~25 years,"""Assyria: The Rise and Fall"" book",Babylonian Collection,Yale University,Digital imaging projects; innovative AI contexts,9
Timothy P. Harrison,Mesopotamian Archaeology,Near Eastern,"PhD, Professor",~35 years,Megiddo excavations,Tayinat project,University of Chicago,Digital mapping,8
Augusta McMahon,Mesopotamian Archaeology,Urbanism,"PhD, Professor",~30 years,"""Early Mesopotamian Urbanism""",Tell Brak,University of Cambridge,GIS integration,8
Anna-Latifa Mourad-Cizek,Egyptian/Mesopotamian Archaeology,Bronze Age,"PhD, Assistant Professor",~15 years,Egyptian-Mesopotamian links,Various digs,University of Chicago,Cross-cultural digital,7
Yorke Rowan,Mesopotamian Archaeology,Prehistory,"PhD, Research Associate",~30 years,Galilee projects,Eastern Badia,University of Chicago,AI for site prediction,9
Tate Paulette,Mesopotamian Archaeology,Food systems,"PhD, Assistant Professor",~15 years,"""Cultural History of Wine""",Makounta-Voules,NC State,Computational food networks,9
Steve Renette,Mesopotamian Archaeology,Prehistoric,"PhD, Lecturer",~15 years,Mesopotamian origins,Various surveys,University of Cambridge,Digital landscapes,8
Guillermo Algaze,Mesopotamian Archaeology,Uruk period,"PhD, Professor",~40 years,"""Uruk World System""",Titris Hoyuk,UC San Diego,Network analysis,7
Terence N. D'Altroy,Comparative Archaeology,Empires,"PhD, Professor",~40 years,Inca/Mesopotamia comparisons,N/A,Columbia,Computational empires,8
Marcella Frangipane,Mesopotamian Archaeology,Arslantepe,"PhD, Professor",~40 years,Arslantepe excavations,Italian projects,Sapienza Rome,Digital stratigraphy,7
Hans J. Nissen,Mesopotamian Archaeology,Uruk,"PhD, Emeritus",~50 years,"""The Early History of the Ancient Near East""",Uruk surveys,FU Berlin,Early digital surveys,8
Holly Pittman,Mesopotamian Art/Archaeology,Seals,"PhD, Professor",~40 years,Glyptic studies,Konar Sandal,UPenn,3D modeling of seals,9
Susan Pollock,Mesopotamian Archaeology,"Gender, labor","PhD, Professor",~35 years,"""Ancient Mesopotamia""",Halawa,Binghamton,Anthropological digital,7
Mitchell S. Rothman,Mesopotamian Archaeology,State formation,"PhD, Professor",~35 years,"""Uruk Mesopotamia & Its Neighbors""",Various,Widener University,Network models,8
Glenn M. Schwartz,Mesopotamian Archaeology,Tell Leilan,"PhD, Professor",~40 years,"""The Archaeology of Syria""",Tell Leilan,Johns Hopkins,Climate data integration,7
Gil Stein,Mesopotamian Archaeology,Ubaid,"PhD, Professor",~35 years,Surezha excavations,Oriental Institute,University of Chicago,Digital ceramics,9
Luca Peyronel,Mesopotamian Archaeology,Bronze Age,"PhD, Professor",~25 years,Helawa project,University of Milan,University of Milan,AI site detection,9
Diego Gatta,Archaeology,Landscapes,PhD,~20 years,Bab-u-Kur,University of Milan,University of Milan,GIS landscapes,8
Andrea Zerboni,Geoarchaeology,Environments,"PhD, Professor",~20 years,Mesopotamian geo,University of Milan,University of Milan,Computational env.,9
Tiffany Earley-Spadoni,Mesopotamian Archaeology,Bronze Age,"PhD, Associate Professor",~15 years,Kurd Qaburstan,UCF,UCF,AI tablets analysis,10
Jaafar Jotheri,Mesopotamian Archaeology,Irrigation,"PhD, Researcher",~15 years,Eridu canals,Various,Independent,AI landscape mapping,9
Niek Veldhuis,Computational Assyriology,Sumerian,"PhD, Professor",~25 years,"""History of the Cuneiform Lexical Tradition""","CDLI, DCCMT",UC Berkeley,AI lexical analysis,10
Émilie Pagé-Perron,Computational Linguistics,Sumerian,"PhD, Researcher",~15 years,MTAAC project,Machine translation,University of Toronto,AI translation,10
Maria Sukhareva,Computational Linguistics,Cuneiform,PhD,~10 years,MTAAC,Linked data,University of Frankfurt,LOD for Assyriology,9
Ilya Khait,Computational Linguistics,Sumerian,PhD,~10 years,MTAAC,NLP pipeline,University of Leipzig,AI pipelines,10
Christian Chiarcos,Digital Humanities,Ancient languages,"PhD, Professor",~20 years,Linked open data,Various,University of Frankfurt,LOD cuneiform,10
Shai Gordin,Digital Assyriology,Akkadian,"PhD, Director",~15 years,Babylonian Engine,"Atrahasis, Akkademia",Ariel University,AI translation,10
Luis D. Sáenz Santos,Digital Assyriology,Sumerian-Akkadian,"PhD, Postdoc",~10 years,eBL project,Digital infrastructure,SAW Leipzig,AI dictionaries,10
Saana Svärd,Digital Assyriology,Neo-Assyrian,"PhD, Professor",~20 years,ANEE,Digital tools,University of Helsinki,AI gender studies,9
Enrique Jiménez,Digital Assyriology,Babylonian,"PhD, Professor",~15 years,eBL,Fragmentarium,LMU Munich,AI reconstruction,10
Hadar Averbuch-Elor,Computer Science,Cuneiform,"PhD, Assistant Professor",~10 years,DeepScribe,AI reading,Cornell,Computer vision,10
Sanjay Krishnan,Computer Science,Ancient texts,"PhD, Assistant Professor",~10 years,DeepScribe,ML transcription,UChicago,AI tablets,10
Susanne Paulus,Assyriology/Digital,Tablets,"PhD, Associate Professor",~15 years,Persepolis project,Digital curation,UChicago,AI legal texts,9
Sandra Schloen,Digital Humanities,OI databases,Specialist,~20 years,OCHRE,Database mgmt,UChicago,Digital platforms,9
Miller Prosser,Digital Humanities,Ancient data,Specialist,~15 years,OCHRE,Data organization,UChicago,AI-friendly DB,9
Thea Sommerschield,ML for Ancient Languages,Greek/Mesopotamian,PhD,~5 years,Survey on ML ancient,Various,Oxford,AI survey,10
Yannis Assael,AI,Ancient texts,Researcher,~10 years,Ithaca model,AI restoration,Google DeepMind,LLM contextualization,10
Jonathan Berant,AI,Cuneiform,"PhD, Professor",~15 years,Akkadian translation,AI models,Tel Aviv University,LLM Akkadian,10
Avital Romach,AI,Cuneiform,Researcher,~5 years,Fragmentarium,AI piecing,Tel Aviv,LLM fragments,10
